TITLE,PEGDA 1500 MgTFSI 30 03_05_18,
DATA TYPE,RAMAN SPECTRUM,
ORIGIN,JASCO,
OWNER,,
DATE,18/03/05,
TIME,9:27:25,
SPECTROMETER/DATA SYSTEM,,
LOCALE,1041,
RESOLUTION,,
DELTAX,1,
XUNITS,1/CM,
YUNITS,INTENSITY,
FIRSTX,212.4148,
LASTX,2060.4148,
NPOINTS,1849,
FIRSTY,45.04688,
MAXY,944.58575,
MINY,29.04553,
XYDATA,,
517.4148,42.0794,
518.4148,48.1881,
519.4148,47.256,
520.4148,44.8677,
521.4148,49.3472,
522.4148,58.2776,
523.4148,65.9345,
524.4148,66.5193,
525.4148,57.1769,
526.4148,48.2228,
527.4148,49.8641,
528.4148,56.4403,
529.4148,60.8558,
530.4148,66.9806,
531.4148,77.066,
532.4148,76.9021,
533.4148,56.9091,
534.4148,37.9022,
535.4148,38.5757,
536.4148,47.6671,
537.4148,51.8418,
538.4148,51.1625,
539.4148,48.2681,
540.4148,45.5786,
541.4148,44.4754,
542.4148,43.5425,
543.4148,41.9612,
544.4148,41.7678,
545.4148,45.2033,
546.4148,53.857,
547.4148,66.5889,
548.4148,76.1898,
549.4148,78.9074,
550.4148,80.3395,
551.4148,86.8259,
552.4148,103.649,
553.4148,126.999,
554.4148,136.27,
555.4148,127.079,
556.4148,126.84,
557.4148,146.818,
558.4148,166.413,
559.4148,173.769,
560.4148,175.011,
561.4148,172.72,
562.4148,162.421,
563.4148,148.572,
564.4148,147.808,
565.4148,160.754,
566.4148,167.583,
567.4148,161.563,
568.4148,152.24,
569.4148,142.598,
570.4148,127.956,
571.4148,110.309,
572.4148,98.1909,
573.4148,91.9642,
574.4148,84.6704,
575.4148,76.1638,
576.4148,71.9344,
577.4148,72.4146,
578.4148,74.0795,
579.4148,74.8638,
580.4148,73.9955,
581.4148,72.7907,
582.4148,73.555,
583.4148,74.7643,
584.4148,73.0766,
585.4148,69.803,
586.4148,68.1195,
587.4148,65.2871,
588.4148,56.9381,
589.4148,48.7878,
590.4148,49.5959,
591.4148,57.7189,
592.4148,66.6536,
593.4148,66.496,
594.4148,50.9331,
595.4148,39.7917,
596.4148,54.544,
597.4148,82.3439,
598.4148,103.247,
599.4148,111.25,
600.4148,105.451,
601.4148,90.1192,
602.4148,72.2328,
603.4148,63.798,
604.4148,71.7869,
605.4148,84.4499,
606.4148,90.1014,
607.4148,86.9977,
608.4148,76.8225,
609.4148,65.5026,
610.4148,57.4708,
611.4148,52.5229,
612.4148,49.1744,
613.4148,44.6956,
614.4148,41.1476,
615.4148,48.9177,
616.4148,64.6927,
617.4148,63.211,
618.4148,44.2419,
619.4148,43.8633,
620.4148,65.941,
621.4148,72.4461,
622.4148,57.8005,
623.4148,53.8681,
624.4148,66.5135,
625.4148,75.3347,
626.4148,81.0466,
627.4148,102.075,
628.4148,130.982,
629.4148,142.514,
630.4148,145.984,
631.4148,171.222,
632.4148,209.698,
633.4148,232.814,
634.4148,243.804,
635.4148,259.287,
636.4148,266.214,
637.4148,243.909,
638.4148,214.25,
639.4148,207.784,
640.4148,204.321,
641.4148,175.251,
642.4148,140.028,
643.4148,123.91,
644.4148,113.455,
645.4148,93.3585,
646.4148,79.369,
647.4148,84.2378,
648.4148,88.7481,
649.4148,78.3346,
650.4148,68.1925,
651.4148,70.3107,
652.4148,77.3887,
653.4148,80.6761,
654.4148,74.1588,
655.4148,58.0453,
656.4148,42.8518,
657.4148,37.3651,
658.4148,45.8681,
659.4148,61.083,
660.4148,61.7137,
661.4148,47.8973,
662.4148,44.4112,
663.4148,54.4477,
664.4148,59.4466,
665.4148,57.8703,
666.4148,62.4957,
667.4148,71.0124,
668.4148,70.9862,
669.4148,65.7435,
670.4148,66.9072,
671.4148,68.4428,
672.4148,57.487,
673.4148,43.4251,
674.4148,42.8912,
675.4148,52.3367,
676.4148,61.5138,
677.4148,67.0959,
678.4148,69.457,
679.4148,75.1801,
680.4148,88.6643,
681.4148,99.6424,
682.4148,98.2095,
683.4148,86.3284,
684.4148,72.0086,
685.4148,72.9574,
686.4148,91.2259,
687.4148,91.1858,
688.4148,60.2079,
689.4148,37.2901,
690.4148,40.9103,
691.4148,48.8818,
692.4148,50.0623,
693.4148,52.493,
694.4148,59.32,
695.4148,66.7525,
696.4148,71.9026,
697.4148,73.127,
698.4148,69.3691,
699.4148,60.4448,
700.4148,51.633,
701.4148,51.1123,
702.4148,59.4517,
703.4148,71.8842,
704.4148,75.8494,
705.4148,60.1168,
706.4148,45.1267,
707.4148,55.3461,
708.4148,71.9754,
709.4148,69.7742,
710.4148,55.0906,
711.4148,41.2414,
712.4148,36.9056,
713.4148,43.9751,
714.4148,48.14,
715.4148,43.1249,
716.4148,47.474,
717.4148,66.4735,
718.4148,74.0028,
719.4148,60.5752,
720.4148,47.9479,
721.4148,47.4854,
722.4148,53.6633,
723.4148,64.2235,
724.4148,81.5426,
725.4148,106.306,
726.4148,137.307,
727.4148,170.831,
728.4148,201.223,
729.4148,221.289,
730.4148,226.261,
731.4148,239.087,
732.4148,286.614,
733.4148,330.951,
734.4148,324.779,
735.4148,307.915,
736.4148,330.286,
